run,family,mean_llm_weight_rank,mean_true_acc_rank,mean_centrality_rank,misrank,p
Qwen3-8B|cot_only|s0,CNN_RNN,9.93287037037037,6.907407407407407,5.319444444444445,3.025462962962963,9.601208765047734e-34
Qwen3-8B|direct_only|s0,MSA_Potts,2.4189814814814814,6.726851851851852,7.319444444444445,-4.30787037037037,1.4863146701404852e-36
Qwen3-8B|direct_only|s0,Evo_Conservation,5.125,4.361111111111111,5.263888888888889,0.7638888888888893,3.5779223151046567e-06
Qwen3-8B|direct_only|s0,MSA_Conditioned,5.020833333333333,4.574074074074074,1.6481481481481481,0.44675925925925863,0.004541247370442937
Qwen3-8B|direct_only|s0,ESM_Masked,1.2476851851851851,5.347222222222222,3.4814814814814814,-4.099537037037037,6.702199239324078e-35
Qwen3-8B|direct_only|s0,AR_PLM,7.715277777777778,7.537037037037037,7.356481481481482,0.17824074074074048,0.9442453109545884
Qwen3-8B|direct_only|s0,xTrimoPGLM,8.82175925925926,7.416666666666667,7.171296296296297,1.4050925925925926,8.278845318807347e-17
Qwen3-8B|direct_only|s0,Inverse_Folding,4.395833333333333,6.537037037037037,9.50462962962963,-2.141203703703704,5.272213762137645e-16
Qwen3-8B|direct_only|s0,Struct_PLM,6.555555555555555,3.111111111111111,4.6157407407407405,3.444444444444444,1.2795476596537584e-30
Qwen3-8B|direct_only|s0,Struct_MSA_Hybrid,3.701388888888889,2.4814814814814814,3.3194444444444446,1.2199074074074074,8.065232121641738e-13
Qwen3-8B|direct_only|s0,CNN_RNN,9.997685185185185,6.907407407407407,5.319444444444445,3.0902777777777777,8.641179950302251e-34
